Seed: 19910511 	Score: 0.706422 	Run time: 0.625075
Seed: 19910512 	Score: 0.750000 	Run time: 0.303716
Seed: 19910513 	Score: 0.714286 	Run time: 0.053045
Seed: 19910514 	Score: 0.658784 	Run time: 2.447136
Seed: 19910515 	Score: 0.792308 	Run time: 0.715595
Seed: 19910516 	Score: 0.776536 	Run time: 5.519036
Seed: 19910517 	Score: 0.803571 	Run time: 0.144611
Seed: 19910518 	Score: 0.777778 	Run time: 1.553478
Seed: 19910519 	Score: 0.821429 	Run time: 1.804477
Seed: 19910520 	Score: 0.807432 	Run time: 1.798560
Seed: 19910521 	Score: 0.714286 	Run time: 1.046895
Seed: 19910522 	Score: 0.856383 	Run time: 1.018725
Seed: 19910523 	Score: 0.709877 	Run time: 0.609201
Seed: 19910524 	Score: 0.662500 	Run time: 1.077767
Seed: 19910525 	Score: 0.755319 	Run time: 0.241678
Seed: 19910526 	Score: 0.838542 	Run time: 3.213968
Seed: 19910527 	Score: 0.863415 	Run time: 3.383185
Seed: 19910528 	Score: 0.865385 	Run time: 0.269740
Seed: 19910529 	Score: 0.800493 	Run time: 3.629302
Seed: 19910530 	Score: 0.777778 	Run time: 5.191486
Seed: 19910531 	Score: 0.852321 	Run time: 7.636622
Seed: 19910532 	Score: 0.806202 	Run time: 2.557692
Seed: 19910533 	Score: 0.825175 	Run time: 1.890349
Seed: 19910534 	Score: 0.807692 	Run time: 2.819085
Seed: 19910535 	Score: 0.800000 	Run time: 4.557408
Seed: 19910536 	Score: 0.772727 	Run time: 6.292723
Seed: 19910537 	Score: 0.842391 	Run time: 0.928192
Seed: 19910538 	Score: 0.625000 	Run time: 0.117583
Seed: 19910539 	Score: 0.724000 	Run time: 2.209138
Seed: 19910540 	Score: 0.795918 	Run time: 0.422800
Seed: 19910541 	Score: 0.725000 	Run time: 2.365478
Seed: 19910542 	Score: 0.755396 	Run time: 1.814665
Seed: 19910543 	Score: 0.857143 	Run time: 0.048034
Seed: 19910544 	Score: 0.688679 	Run time: 19.063055
Seed: 19910545 	Score: 0.843373 	Run time: 2.219872
Seed: 19910546 	Score: 0.762500 	Run time: 0.113581
Seed: 19910547 	Score: 0.767442 	Run time: 1.415520
Seed: 19910548 	Score: 0.750000 	Run time: 0.252179
Seed: 19910549 	Score: 0.817259 	Run time: 7.145298
Seed: 19910550 	Score: 0.777778 	Run time: 0.101691
Seed: 19910551 	Score: 0.841667 	Run time: 1.074042
Seed: 19910552 	Score: 0.774194 	Run time: 0.197641
Seed: 19910553 	Score: 0.760000 	Run time: 6.916850
Seed: 19910554 	Score: 0.649123 	Run time: 0.893369
Seed: 19910555 	Score: 0.821429 	Run time: 0.489856
Seed: 19910556 	Score: 0.763598 	Run time: 8.251375
Seed: 19910557 	Score: 0.714286 	Run time: 0.229158
Seed: 19910558 	Score: 0.829787 	Run time: 1.597179
Seed: 19910559 	Score: 0.770000 	Run time: 0.154610
Seed: 19910560 	Score: 0.757752 	Run time: 19.052066
Seed: 19910561 	Score: 0.663366 	Run time: 1.022785
Seed: 19910562 	Score: 0.843750 	Run time: 3.825735
Seed: 19910563 	Score: 0.833333 	Run time: 0.234681
Seed: 19910564 	Score: 0.810127 	Run time: 0.155622
Seed: 19910565 	Score: 0.764368 	Run time: 0.693999
Seed: 19910566 	Score: 0.735294 	Run time: 0.661471
Seed: 19910567 	Score: 0.780303 	Run time: 0.591589
Seed: 19910568 	Score: 0.720930 	Run time: 0.543386
